.thisTrialN,.stepSize,.intensity,time.onset,cue.color,.response,Trial.rewardType,Total_Earned,time.global,time.nominal,time.trial,time.plannedfixlength,time.actualfixlength,Target_Resp.rt,participant,fMRI? (yes or no),date,expName,frameRate,
18,1,14,84.83245679200627,Green,1,1,11,89.31576591701014,89.32631381235309,4.482818624994252,0.5105873533849632,0.5000774580403231,0.36559216695604846,999,no,2023-06-06_21h49.12.704,MID1.0,None,
19,1,13,89.3158386250143,Green,1,1,12,93.43776579201221,93.43968213666876,4.121459959016647,0.5200607616868211,0.5182040419895202,0.35524720896501094,999,no,2023-06-06_21h49.12.704,MID1.0,None,
20,1,13,93.43788154202048,Blue,1,-1,12,97.74605629197322,97.75533099939696,4.307656291988678,0.5218107493861908,0.5125694999587722,0.34402979095466435,999,no,2023-06-06_21h49.12.704,MID1.0,None,
21,1,12,97.74612291698577,Green,1,1,13,101.78129120898666,101.7927622516597,4.03474966698559,0.5287256266762768,0.5173064999980852,0.32821941701695323,999,no,2023-06-06_21h49.12.704,MID1.0,None,
22,1,12,101.78138441697229,Green,0,-1,13,105.79686183400918,105.8045152890883,4.015056082978845,0.5189926640634042,0.5114165419945493,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
23,1,13,105.79698387498502,Green,1,1,14,109.90235816698987,109.90460161912264,4.10484720900422,0.5190368691204128,0.5168262919760309,0.34802312502870336,999,no,2023-06-06_21h49.12.704,MID1.0,None,
24,1,13,109.90241908398457,Green,1,1,15,114.38035279198084,114.38958640024283,4.477530042000581,0.5043172752506422,0.49511987500591204,0.34602625004481524,999,no,2023-06-06_21h49.12.704,MID1.0,None,
25,1,12,114.38042333401972,Green,1,1,16,118.6317986670183,118.6397095591165,4.2510786250350066,0.5027948091374554,0.4950827920110896,0.3413073329720646,999,no,2023-06-06_21h49.12.704,MID1.0,None,
26,1,12,118.63205862499308,Blue,1,-1,16,122.72846029198263,122.73286107212158,4.095812707964797,0.5032552801476982,0.4989315830171108,0.3286550000193529,999,no,2023-06-06_21h49.12.704,MID1.0,None,
27,1,11,122.72857770900009,Blue,1,-1,16,127.06154700001935,127.07038058120884,4.332593708008062,0.5006247472053929,0.4919100410188548,0.3127696659648791,999,no,2023-06-06_21h49.12.704,MID1.0,None,
28,1,11,127.0617470840225,Blue,1,-1,16,131.14199058397207,131.15283860404688,4.078868207987398,0.518419354035899,0.5076087089837529,0.3162870839587413,999,no,2023-06-06_21h49.12.704,MID1.0,None,
29,1,10,131.14205516700167,Blue,1,-1,16,135.58440941700246,135.59535110167485,4.441970707965083,0.5038061017010023,0.4928992500063032,0.29782270797295496,999,no,2023-06-06_21h49.12.704,MID1.0,None,
30,1,10,135.58447316702222,Green,1,1,17,139.87520429200958,139.87123575933927,4.290286333998665,0.5281067593530508,0.532110208994709,0.2949577090330422,999,no,2023-06-06_21h49.12.704,MID1.0,None,
31,1,9,139.87526804197114,Green,0,-1,17,144.33367070899112,144.33307519531598,4.457954292010982,0.5021426953005061,0.5027745419647545,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
32,1,10,144.33373779198155,Blue,1,-1,17,148.5583985419944,148.56619546127226,4.224256250017788,0.5098070442462301,0.5020484169945121,0.3006307079922408,999,no,2023-06-06_21h49.12.704,MID1.0,None,
33,1,10,148.55846174998442,Green,1,1,18,152.90677529200912,152.91434663075623,4.34792595799081,0.5348769637769522,0.5273426250205375,0.30676570895593613,999,no,2023-06-06_21h49.12.704,MID1.0,None,
34,1,9,152.90684191702167,Green,1,1,19,157.29055616701953,157.28657783246507,4.3832590419915505,0.5210425404822558,0.5250535000232048,0.28388229198753834,999,no,2023-06-06_21h49.12.704,MID1.0,None,
35,1,9,157.29061783401994,Blue,0,-1,19,161.3559250839753,161.3514308251381,4.064921499986667,0.515677283116247,0.5202660419745371,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
36,1,10,161.3560940839816,Green,0,-1,19,165.67544712498784,165.67818383611018,4.318223291018512,0.47536729410501266,0.4726641669985838,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
37,1,11,165.67550604202552,Green,1,1,20,169.90422704198863,169.91065909457487,4.228324041992892,0.5116001355936817,0.505198166007176,0.3009613749454729,999,no,2023-06-06_21h49.12.704,MID1.0,None,
38,1,11,169.90428529202472,Green,1,1,21,174.28298520902172,174.28506696733766,4.378289958985988,0.5325328833156107,0.5304863329511136,0.31117812503362074,999,no,2023-06-06_21h49.12.704,MID1.0,None,
39,1,10,174.2830540839932,Blue,1,-1,21,178.3993189589819,178.4065380892081,4.115834791969974,0.5008719642011386,0.49373854196164757,0.3080113750183955,999,no,2023-06-06_21h49.12.704,MID1.0,None,
40,1,10,178.39948966697557,Blue,0,-1,21,182.45318554202095,182.462229673119,4.05267145804828,0.5343431311279687,0.5253309169784188,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
41,1,11,182.45324574998813,Blue,0,-1,21,186.8718603749876,186.88356634130545,4.418201916036196,0.5030115913258157,0.491337499988731,,999,no,2023-06-06_21h49.12.704,MID1.0,None,
42,1,12,186.8719179169857,Green,1,1,22,190.99572120897938,190.99911144799958,4.123403250006959,0.5105040729901305,0.5071486249798909,0.33390879194485024,999,no,2023-06-06_21h49.12.704,MID1.0,None,
43,1,12,190.99578858399764,Green,1,1,23,195.3927050419734,195.39668375638587,4.396476624999195,0.5249669223632054,0.5210939159733243,0.3274616670096293,999,no,2023-06-06_21h49.12.704,MID1.0,None,
44,1,11,195.39292033400852,Green,1,1,24,199.53623887500726,199.53372558907918,4.142245374969207,0.525099755063053,0.5277248749625869,0.3161845830036327,999,no,2023-06-06_21h49.12.704,MID1.0,None,
